고유번호,언어,상호명,콘텐츠URL,주소,신주소,전화번호,팩스번호,웹사이트,운영시간,운영요일,휴무일,교통정보,태그,장애인편의시설
20749,ja,アラリオミュ?ジアム·イン·スペ?ス,https://japanese.visitseoul.net/attractions/アラリオミュ?ジアム·イン·スペ?ス/JPP020731?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP020731,110-280 ソウル市鐘路?苑西洞 219,03058 ソウル市チョンノ(鐘路)?ユルゴクロ83 (苑西洞),-6356,,https://www.arariomuseum.org/main.php,10:00-19:00 (入館は18:00まで),火曜日?日曜日,月曜日,"地下?3?線 ?アングク?? 3番出口,  181m ","アラリオミュ?ジアム·イン·スペ?ス,芸術,現代美術,ミュ?ジアム,美術館,安??,展示,アラリオ",
2408,ja,ア?トソンジェセンタ?(Art Sonje Center),https://japanese.visitseoul.net/attractions/Art-Sonje-Center-JP/JPP002405?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP002405,110-200 ソウル市鍾路?昭格洞144-2 ,110-200 ソウル市チョンノ(鐘路)?ユルゴクロ3ギル87 (昭格洞),-9602,,http://www.artsonje.org/,12:00-18:00 (KST),,月曜日、1月1日、?正月及び秋夕(??8月15日)連休,"地下?3?線 ?アングク?? 1番出口,  709m ","音??,Art Sonje Center,ショ?トシネマ,芸術·ア?ト,現代美術,ア?トソンジェセンタ?,シネコ?ド,美術館,短編映?,?立映?,アングク?",
44080,ja,イェムンサ,https://japanese.visitseoul.net/attractions/2023102/JPP5ietpk?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP5ietpk, ソウル市中?乙支路3街315-5 ,04550 ソウル市チュン(中)? ウルチロ 126-1 ,-6593,,,09:00~19:00,月?金,週末,"地下?2/3?線  乙支路3街?  10番出口,  38m","手製印鑑,手製印鑑, 印鑑場, 書道,オレガゲ(老?), 乙支路3街, カリグラフィ?",
37019,ja,イクソンドン(益善洞)韓屋通り,https://japanese.visitseoul.net/attractions/益善洞韓屋通り/JPP037008?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP037008, ソウル市鍾路?益善洞160-1 ,03133 ソウル市チョンノ(鍾路)?トンファムンロ11ガギル17 (益善洞),,,,,,,"地下?1?線/3?線/5?線「チョンノサムガ(タプコル公園)」?4番出口,  141m","韓屋通り,ソウル外出,ソウルデ?トコ?ス,デ?トコ?スおすすめ,韓??統,ソウル韓屋,ソウル散?,益善洞韓屋通り,ソウルデ?ト,ソウル?きやすい所,益善洞,?統通り,韓?文化",
27586,ja,イテウォン(梨泰院)?光案?所 (地下?6?線イテウォン???),https://japanese.visitseoul.net/attractions/itaewon-tourist-information-center-inside-of-the-subway-station-jp/JPP027218?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP027218,140-863 ソウル市龍山?梨泰院洞 119-23,04350 ソウル市ヨンサン(龍山)?イテウォンロ177 (梨泰院洞)地下?6?線イテウォン??,-4647,,http://www.sta.or.kr,10:00 KST ~ 19:00 KST,,?正月、秋夕?日定休日,地下?6?線「イテウォン」?1番出口の?史?,"?光案?所,旅行ガイド,旅行情報,梨泰院?光案?所,??,ソウル地?,旅行,地下?,ガイドブック,インフォメ?ションセンタ?",
23489,ja,キョムジェ(謙?)チョンソン(鄭敾)美術館,https://japanese.visitseoul.net/attractions/gyeomjae-jeongseon-art-museum-jp/JPP001961?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP001961,157-801 ソウル江西?麻谷洞815 謙?鄭敾美術館,07522 ソウル市カンソ(江西)?ヤンチョンロ47ギル36 (加陽洞)キョムジェ(謙?)チョンソン(鄭敾)美術館,-4785,,https://culture.gangseo.seoul.kr/gsfc/main/contents.do?menuNo=800054,火曜日∼金曜日 10:00-18:00 土曜日∼日曜日 10:00-17:00 祝日10:00-17:00 ※入場は閉館時間の1時間前まで ※解?時間：11:00、15:00 (KST),,月曜日、1月1日、?正月及び秋夕(??8月15日)休館,"地下?9?線「ヤンチョンヒャンギョ」? 1番出口,  487m","鄭敾,?景山水?,山水?,チョンソン美術館,文化,謙?鄭敾美術館,謙?鄭敾記念館,美術館,謙?",
49297,en,Namsan Seoul Tower Luggage Storage,https://english.visitseoul.net/attractions/LuggageStorage14/ENPs3winq?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPs3winq," 105 Namsangongwon-gil, Jung-gu, Seoul ","04340 105 Namsangongwon-gil, Jung-gu, Seoul ",,,,,,,,Namsan Seoul Tower Luggage Storage,
37136,ja,イルジャサン(一字山)ハ?ブ天文公園,https://japanese.visitseoul.net/attractions/イルジャサン一字山ハ?ブ天文公園/JPP037130?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP037130, ソウル江東?ドゥンチョンドン(遁村洞)山86 ,134-060 ソウル市カンドン(江?)?ドゥンチョンドン(遁村洞)山86 ,,,https://www.gangdong.go.kr/web/culture/contents/gdc010_020_030,,,,"地下?9?線「チュンアンボフンビョンウォン」?3番出口,  342番幹線バスまたは2312番支線バスに?車し、「キル洞自然生態公園」停留所で下車後、296m","家族でお出かけ, ジョギングコ?ス,イルジャサン(一字山),ソウルの星,ソウル?きやすい道, ソウル天文台,ソウル夜景,ソウル散?コ?ス",
24809,ja,インチョン(仁川)?際空港第2旅客タ?ミナル?光情報センタ?,https://japanese.visitseoul.net/attractions/incheon-international-airport-terminal-2-tourist-information-center-jp/JPP024807?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP024807, 仁川?域市中?雲西洞2868第2合同?? 2840 第2旅客タ?ミナル入?ゲ?ト,22382 インチョン(仁川)チュン(中)?第2タ?ミナル通り444（雲西洞） インチョン(仁川)?際空港第2旅客タ?ミナル1階到着ロビ?,-3962,,https://www.sta.or.kr/,07:00-22:00 (食事時間:11:00-13:00、17:00-19:00(流動的に運?)),,年中無休,地下?空港?道 「インチョン空港2タ?ミナル」?、205m,"仁川空港第2旅客タ?ミナル-,空港,第2旅客タ?ミナル,インチョン空港,?光情報センタ?,仁川空港",
50852,ja,ウンピョン(恩平)?史韓屋博物館,https://japanese.visitseoul.net/attractions/Eunpyeong-History-Hanok-Museum/JPP44b0tv?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP44b0tv, ソウル市ウンピョン(恩平)?ヨンソロ50ギル8 ウンピョン(恩平)?史韓屋博物館 ,03308 ソウル市ウンピョン(恩平)?ヨンソロ50ギル8 ウンピョン(恩平)?史韓屋博物館 ,-8827,,https://museum.ep.go.kr/,09:00-18:00,,?週月曜日、1月1日、?正月·秋夕(??8月15日)連休 ※ 月曜日が祝日の場合は火曜日休館, - 地下?3?線/6?線/首都??域急行?道A路線「ヨンシンネ」?3番出口から701、709、7211番バスに?車し、「ハナ高校、チングァンサ(津?寺)、サムチョンサ(三千寺)入口」バス停下車  - 地下?3?線「クパバル(恩平聖母病院)」?4番出口から7723番に?車し、「ハナ高校、チングァンサ(津?寺)、サムチョンサ(三千寺)入口」バス停下車,"韓屋博物館,ウンピョン(恩平)?史韓屋博物館,ウンピョン(恩平)韓屋村,展示,?育,??,韓?文化??",
2085,ja,ガナア?トセンタ?,https://japanese.visitseoul.net/attractions/gana-art-center-jp/JPP002082?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP002082,110-846 ソウル市鍾路?平倉洞 97,110-846 ソウル市チョンノ(鐘路)?ピョンチャン30ギル28 (平倉洞)ガナア?トセンタ?,-1660,,http://www.ganaart.com,火曜日?日曜日 10:00?19:00,,?週月曜日,地下?5?線「 クァンファムン(セジョン文化?館)」?2番出口/地下?3?線「キョンボックン(政府ソウル??)」?3番出口、バス1020、1711番に?り、ロッテアパ?トメント下車、150m,"Jean Michel Wilmotte,美術館,ガナア?トセンタ?,芸術·ア?ト",
2070,ja,キム·ジョンヨン(金鍾瑛)美術館,https://japanese.visitseoul.net/attractions/kim-chong-yung-museum-jp/JPP002066?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP002066,110-846 ソウル鍾路?平倉洞114-8 ,03004 ソウルチョンノ(鍾路)?ピョンチャン32ギル20 (平倉洞),-9621,,http://www.kimchongyung.com,3月?11月／10:00?18:00 12月?2月／10:00?17:00 (KST) caf? SAMIRU?業時間 11:00-21:00,,月曜日,"地下?3?線「キョンボックン(政府ソウル??)」?3番出口, 1711バス搭?後、ロッテアパ?トメント下車、365m","彫刻,キム·ジョンヨン,ギャラリ?,平倉洞,金鍾瑛,美術館",
50429,zh-CN,PLATFORM-L,https://chinese.visitseoul.net/attractions/PLATFORM-L/CNPn0wsm1?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNPn0wsm1, 首?江南?彦州路133街11 ,06053 首?江南?彦州路133街11 ,-11319,,https://platform-l.org/,11:00-20:00,,每周一,地?7???洞站10?出口，284m,"Platform-L美??,Platform-L?代??中心,LITTLE-L,江南展?,首?美??",
44042,ja,キョンウン商社,https://japanese.visitseoul.net/attractions/2023097/JPPhujesr?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPPhujesr, ソウル鍾路??園洞288 ,03140 鍾路? サミルデロ 428 ?園商店街 2階 B-282? ,-7097,,http://acousticgt.co.kr/,月~土 10:00~19:00、日 12:00~18:00 KST,?日,なし,"地下?1/3/5?線  「チョンノサムガ(タプコル公園)」? 12番出口,  106m","クラシックギタ?,アコ?スティックギタ?,エレキギタ?,ギタ?,オレガゲ(老?),チョンガク?,ベ?スギタ?",
51228,ja,キョンヒ(慶熙)大?校ソウルキャンパス,https://japanese.visitseoul.net/attractions/KyungHeeUniversity/JPPoty0zx?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPPoty0zx, ソウル市トンデムン(東大門)?キョンヒデロ26 ,02447 ソウル市トンデムン(東大門)?キョンヒデロ26 ,-995,,https://www.khu.ac.kr/kor/user/main/view.do,,,,地下?1?線/キョンチュン(京春)/キョンイ·チュンアン(京?·中央)線「フェギ(慶熙大前)」?1番出口 786m,"ソウルキャンパス,ゴシック建築?式,キョンヒ(慶熙)ランド,フェギ(慶熙大前)?,平和の殿堂,キョンヒ(慶熙)大?校",
6960,ja,キョンヒ(慶熙)大?自然史博物館,https://japanese.visitseoul.net/attractions/kyunghee-university-natural-history-museum-jp/JPP006957?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP006957,130-050 ソウル市東大門?回基洞1-5 ,130-050 ソウル市トンデムン(東大門?)キョンヒデロ26 (回基洞),+82-2-961-0142~3,,https://nhm.khu.ac.kr/nhm_kor/user/main/view.do,10:00 - 17:00 ,,土曜日、日曜日、祝日 開校記念日(5/18),"地下?1?線「フェギ」? 1番出口,  1.2km 地下?1?線「ウェデアプ」? 1番出口,  1.1km ","火成岩,自然,堆積岩,慶熙大?自然史博物館,博物館·記念館,?成岩,自然史博物館",
